repo_name,test_func,main_api,sec_op,var_type,var,scope,violated_path_num,score
kernel,sof_wm8804_probe,acpi_dev_get_first_match_dev,acpi_dev_put,retval,adev,Local,2,45.4
kernel,mvebu_gicp_probe,of_irq_find_parent,of_node_put,retval,irq_parent_dn,Local,4,45.35
kernel,alpine_msix_init_domains,of_irq_find_parent,of_node_put,retval,gic_node,Local,4,45.35
kernel,sifive_gpio_probe,of_irq_find_parent,of_node_put,retval,irq_parent,Local,3,45.15
kernel,pnv_parse_cpuidle_dt,of_find_node_by_path,of_node_put,retval,np,Local,10,45.12
kernel,kfr2r09_serial_i2c_setup,i2c_get_adapter,i2c_put_adapter,retval,a,Local,4,44.97
kernel,kfr2r09_usb0_gadget_i2c_setup,i2c_get_adapter,i2c_put_adapter,retval,a,Local,4,44.97
kernel,ti_sci_intr_alloc_parent_irq,of_irq_find_parent,of_node_put,retval,parent_node,Local,2,44.95
kernel,stm32_pctrl_get_irq_domain,of_irq_find_parent,of_node_put,retval,parent,Local,2,44.95
kernel,ixp4xx_gpio_probe,of_irq_find_parent,of_node_put,retval,irq_parent,Local,2,44.95
kernel,visconti_gpio_probe,of_irq_find_parent,of_node_put,retval,irq_parent,Local,2,44.95
kernel,jbusmc_probe,of_find_node_by_path,of_node_put,retval,mem_node,Local,8,44.73
kernel,therm_of_probe,i2c_get_adapter,i2c_put_adapter,retval,adap,Local,2,44.57
kernel,snd_pmac_keywest_init,i2c_get_adapter,i2c_put_adapter,retval,adap,Local,2,44.57
kernel,vpif_probe,i2c_get_adapter,i2c_put_adapter,retval,i2c_adap,Local,2,44.57
kernel,vpfe_probe,i2c_get_adapter,i2c_put_adapter,retval,i2c_adap,Local,2,44.57
kernel,omap_usb2_probe,of_find_device_by_node,put_device,retval,control_pdev,Local,17,44.44
kernel,valkyriefb_init,of_find_node_by_name,of_node_put,retval,dp,Local,4,44.13
kernel,of_unittest_parse_phandle_with_args_map,of_find_node_by_path,of_node_put,retval,np,Local,5,44.12
kernel,map_prom_timers,of_find_node_by_path,of_node_put,retval,dp,Local,5,44.12
kernel,imx_hdmi_probe,of_find_device_by_node,put_device,retval,cpu_pdev,Local,15,44.04
kernel,mpic_msgr_block_number,of_find_node_by_name,of_node_put,retval,aliases,Local,3,43.93
kernel,am33xx_pm_rtc_setup,of_find_node_by_name,of_node_put,retval,np,Local,3,43.93
kernel,_init,of_find_node_by_name,of_node_put,retval,bus,Local,3,43.93
kernel,dwc3_octeon_device_init,of_find_node_by_name,of_node_put,retval,node,Local,3,43.93
kernel,bbc_beep_probe,of_find_node_by_path,of_node_put,retval,dp,Local,4,43.92
kernel,create_opalcore,of_find_node_by_name,of_node_put,retval,dn,Local,2,43.73
kernel,aspeed_adc_set_trim_data,of_find_node_by_name,of_node_put,retval,syscon,Local,2,43.73
kernel,pmu_i2c_probe,of_find_node_by_name,of_node_put,retval,busnode,Local,2,43.73
kernel,imx_sc_thermal_probe,of_find_node_by_name,of_node_put,retval,np,Local,2,43.73
kernel,mxs_machine_init,of_find_node_by_path,of_node_put,retval,root,Local,3,43.73
kernel,stratix10_svc_init,of_find_node_by_name,of_node_put,retval,fw_np,Local,2,43.73
kernel,ls_uarts_init,of_find_node_by_path,of_node_put,retval,avr,Local,3,43.73
kernel,read_dts_node,of_node_get,of_node_put,retval,fm_node,Local,10,43.56
kernel,pseries_of_derive_parent,of_find_node_by_path,of_node_put,retval,parent,Local,2,43.52
kernel,spufs_init_isolated_loader,of_find_node_by_path,of_node_put,retval,dn,Local,2,43.52
kernel,opal_export_attrs,of_find_node_by_path,of_node_put,retval,np,Local,2,43.52
kernel,bcm4908_partitions_fw_offset,of_find_node_by_path,of_node_put,retval,root,Local,2,43.52
kernel,hidma_mgmt_init_sys,kobject_create_and_add,kobject_put,retval,chanops,Local,5,43.5
kernel,tegra_uart_init,of_find_matching_node,of_node_put,retval,node,Local,8,43.39
kernel,hns_roce_get_cfg,of_find_device_by_node,put_device,retval,pdev,Local,11,43.24
kernel,hip04_smp_init,of_find_compatible_node,of_node_put,retval,np,Local,10,43.19
kernel,gsc_hwmon_get_devtree_pdata,of_find_compatible_node,of_node_put,retval,fan,Local,10,43.19
kernel,tegra210_clock_init,of_find_matching_node,of_node_put,retval,node,Local,6,42.99
kernel,altr_portb_setup,of_find_compatible_node,of_node_put,retval,np,Local,9,42.99
kernel,setup_msi_msg_address,of_node_get,of_node_put,retval,dn,Local,7,42.96
kernel,fman_port_probe,of_find_device_by_node,put_device,retval,fm_pdev,Local,9,42.84
kernel,mtk_iommu_probe,of_find_device_by_node,put_device,retval,plarbdev,Local,9,42.84
kernel,kmb_probe,of_find_device_by_node,put_device,retval,dsi_pdev,Local,9,42.84
kernel,sifive_l2_init,of_find_matching_node,of_node_put,retval,np,Local,5,42.79
kernel,bcm_kona_smc_init,of_find_matching_node,of_node_put,retval,node,Local,5,42.79
kernel,integrator_soc_init,of_find_matching_node,of_node_put,retval,np,Local,5,42.79
kernel,octeon_cf_probe,of_find_device_by_node,put_device,retval,dma_dev,Local,8,42.64
kernel,at91_pm_modes_init,of_find_matching_node,of_node_put,retval,np,Local,4,42.59
kernel,spear_setup_of_timer,of_find_matching_node,of_node_put,retval,np,Local,4,42.59
kernel,mtk_pcie_subsys_powerup,of_find_compatible_node,of_node_put,retval,cfg_node,Local,7,42.59
kernel,brcmstb_pm_probe,of_find_matching_node,of_node_put,retval,dn,Local,4,42.59
kernel,integrator_ap_lm_probe,of_find_matching_node,of_node_put,retval,syscon,Local,4,42.59
kernel,fsl_pamu_probe,of_find_matching_node,of_node_put,retval,guts_node,Local,4,42.59
kernel,dpaa2_ptp_probe,of_find_compatible_node,of_node_put,retval,node,Local,6,42.39
kernel,tegra114_clock_init,of_find_matching_node,of_node_put,retval,node,Local,3,42.39
kernel,cci_probe,of_find_matching_node,of_node_put,retval,np,Local,3,42.39
